Id,Culture,Name,Description
101,en-US,displacement,"The weight of water displaced by a hull. Also, a type of hull that smoothly displaces water as opposed to riding on top of it."
102,en-US,displacement hull,A hull shape designed to run through water rather than on top of it in the manner of a planing hull.
103,en-US,downrigger,A gunwale-mounted weighted line device used for deep-water trolling.
104,en-US,draft,Vertical distance a boat penetrates the water.
105,en-US,drogue,A parachute-like sea anchor.
106,en-US,dry weight,Weight of the boat without fuel and fresh water.
107,en-US,dual-console boat,A type of boat with twin dashboards separated by a centerline walk-through deck leading to the bow.
108,en-US,EPIRB,Acronym for emergency positioning indicating radio beacon. When this electronic device is activated it transmits a radio signal with user registration data and positioning information to a network of satellites that assist the Coast Guard in conducting an emergency rescue.
109,en-US,express cruiser,A cruising boat without a deck-level salon. Sometimes called a sunbridge cruiser.
110,en-US,fathom,Nautical depth measurement equaling six feet.
111,en-US,fender,"A cylindrical or round cushion used to protect the hull sides of a boat, typically used when tied up at dock."
112,en-US,fetch,"To clear a buoy, point of land or object without having to make a tack."
113,en-US,fiberglass,"Glass fibers either loose or woven, reinforced with resin and used in the construction of many boats."
114,en-US,fighting chair,"A fix-mounted chair used to help land large gamefish on bluewater fishing boats equipped with a footrest, gimbal-mounted rod holder, safety harness and other fish-fighting gear."
115,en-US,fin keel,A keel shaped like the fin of a fish that is shorter and deeper than a full-length keel.
116,en-US,fishfinder,Electronic device that uses sonar to locate and display fish on a monitor.
117,en-US,fix,The position of a boat recorded in coordinates or bearings.
118,en-US,flare,"A pyrotechnic device used to indicate distress. Also, the outward curvature of the sides on the bow of a boat."
119,en-US,flat-bottom boat,Type of boat or hull shape with very little or no deadrise.
120,en-US,flats boat,"Type of small, inshore saltwater fishing boat with moderate deadrise and draft, usually equipped with a raised platform aft used by a guide pushing a long pole to silently maneuver the boat through shallow tidal water."
121,en-US,flying bridge,"Raised, second-story helm station, often located above the primary helm."
122,en-US,following sea,Wave pattern running in the same direction as the boat.
123,en-US,foot,The bottom edge of a sail.
124,en-US,fore,Located at the front of a boat.
125,en-US,foredeck,"Forward part of the main deck, ahead of the superstructure."
126,en-US,foul-weather gear,"Jacket, pants and hat used during inclement weather."
127,en-US,founder,To sink.
128,en-US,four-cycle engine,A gasoline- or diesel-powered internal combustion engine that takes four cycles or strokes of the piston to complete its power phase. Also called four-stroke engine.
129,en-US,frame-mount hitch,Hitch fastened to the frame of a tow vehicle.
130,en-US,freeboard,Vertical distance between the waterline and the top of the hull side.
131,en-US,furling,Rolling or folding a sail on its boom.
132,en-US,gaff,A metal pole with a hooked end used to boat a fish. Also a pole or spar that holds the upper portion of a four-sided sail.
133,en-US,galley,The kitchen area on a boat.
134,en-US,gelcoat,A combination of resin and pigment that comprises the smooth outside coating of a fiberglass boat.
135,en-US,genoa,An overlapping jib.
136,en-US,genset,Another name for a gas- or disel-powered electric generator.
137,en-US,give way,Yield to other traffic.
138,en-US,GPS,"Acronym for global positioning system, a satellite-based navigation system that uses trasmitted signals and mathematical triangulation to pinpoint location."
139,en-US,gunkhole,"To explore creeks, coves marshes or other shallow areas near shore."
140,en-US,gunwale,The upper edge of the side of a boat.
141,en-US,gross axle weight rating (GAWR),The maximum weight an axle is designed to carry.
142,en-US,gross combined weight rating (GCWR),"The maximum allowable weight of a fully loaded tow vehicle plus its fully loaded trailer, including passengers and cargo."
143,en-US,gross trailer weight rating (GTWR),The maximum allowable weight of trailer and its cargo.
144,en-US,gross vehicle weight rating (GVWR),The maximum allowable weight of a fully equipped tow vehicle including passengers and cargo.
145,en-US,gybe,Also spelled jibe. To change the course of a boat so that the boom swings over to the opposite side.
146,en-US,halyard,Line used to hoist a spar or sail.
147,en-US,harbor master,"The person at a harbor in charge of anchorages, berths and harbor traffic."
148,en-US,hard chine,A sharp-angle at the intersection of the hull's side and bottom.
149,en-US,hard over,Turning the steering wheel or tiller all the way in one direction.
150,en-US,hard-top,A large fiberglass roof or platform over the helm area.
151,en-US,hatch,A deck opening.
152,en-US,hauling,To lift a boat from the water.
153,en-US,hawse pipe,Fittings in the deck or gunwale through which the anchor rode or dock lines run.
154,en-US,head,Toilet facilities or room where they are located.
155,en-US,heading,The direction a boat is pointed.
156,en-US,headsail,Any sail set forward of the mast.
157,en-US,head seas,Waves coming from the direction a boat is heading.
158,en-US,headway,Forward motion of a boat in the water.
159,en-US,heave,To pull on a line. Also to throw a line.
160,en-US,heaving to,"Setting the sails so the boat makes little headway, either used in a storm or a waiting situation."
161,en-US,heel,To temporarily tip or lean to one side.
162,en-US,helm,Area of a boat where operational controls are located.
163,en-US,high-performance boat,"A type of boat capable of running at high speeds, often equipped with high-horsepower and exotic propulsion systems, sometimes used for racing."
164,en-US,hike,To lean out on the windward side of a sailboat to achieve optimal speed by offsetting heeling.
165,en-US,hitch,Steel framework on a tow vehicle used to hook up a trailer.
166,en-US,hitch ball,The ball-shaped component of the hitch that fits into the trailer coupler.
167,en-US,holding tank,Storage tank for gray water.
168,en-US,houseboat,"A large, flat-bottom boat with square sides and house-like characteristics, such as comfortable furniture and living accommodations."
169,en-US,hull,The structural body of the boat that rests in the water.
170,en-US,inboard engine,An internal combustion engine often mounted amidships that runs a drive shaft through the hull bottom.
171,en-US,inboard/outboard (I/O),See stern drive.
172,en-US,inflatable,"Capable of being inflated either with air, as in a life raft or life vest."
173,en-US,inflatable boat,"A type of boat with air chambers into which air is pumped either manually or automatically for buoyancy, some having rigid bottoms."
174,en-US,inner liner,"Smooth-finished, molded fiberglass structure adjacent to the inside portion of the hull."
175,en-US,inverter,"Device that changes 12-, 24- or 32-volt direct current (DC) from a battery to 120-volt alternating current (AC)."
176,en-US,jack plate,"A mounting device for an outboard motor that enables operators to vertically raise or lower the motor, thereby controlling propeller depth in the water."
177,en-US,jet boat,A boat powered by an engine with a water-pump used to create propulsion.
178,en-US,jib,Triangular sail projecting ahead of the mast.
179,en-US,jibe,See gybe.
180,en-US,keel,The bottom-most portion or longitudinal centerline of a hull.
181,en-US,ketch,A sailboat similar in appearance to a yawl with a tall main mast and a shorter mizzen mast ahead of the rudder post.
182,en-US,kicker motor,A small auxiliary outboard motor.
183,en-US,kill switch,A switch with a lanyard that automatically shuts off an engine if disconnected.
184,en-US,kite fishing,A technique that involves attaching a fishing line to a kite to present bait at a distance from the boat.
185,en-US,knot,Speed measured in nautical miles per hour.
186,en-US,laminate,A single layer of material used in multi-layered fiberglass construction.
187,en-US,lamination schedule,A list of the sequential layers of materials used in fiberglass construction.
188,en-US,latitude,Geographic distance north or south of the equator expressed in degrees and minutes.
189,en-US,leaning post,"Wide, padded bolster at the helm used instead of or in lieu of conventional seats."
190,en-US,lee,Direction toward which the wind blows.
191,en-US,lee side,The side of an object that is sheltered from the wind.
192,en-US,leeway,To slip sideways downwind while moving forward.
193,en-US,lifeline,Safety lines on deck that are grabbed to prevent falling overboard.
194,en-US,list,A continuous lean to one side due to improper weight distribution.
195,en-US,livewell,Compartment on a fishing boat designed to keep fish or bait alive.
196,en-US,LOA,Length overall; the distance between the most forward part of the boat and the most aft part.
197,en-US,locker,"A stowage compartment, whether equipped with a lock or not."
198,en-US,longitude,Geographic distance east or west of the prime meridian expressed in degrees and minutes.
199,en-US,Loran C,Electronic navigation system that measures the time difference in the reception of radio signals from land-based transmitters.
200,en-US,luff,The leading edge of a sail.
201,en-US,mainsail,The largest regular sail on a sailboat.
202,en-US,make fast,To secure a line.
203,en-US,marinization,The addition of marine components to automotive engines.
204,en-US,mast,Vertical spar that supports sails.
205,en-US,MAYDAY,A radio distress call.
206,en-US,megayacht,"A large, luxurious yacht, typically longer than 100 feet"
207,en-US,midships,Location near the center of a boat.
208,en-US,mizzen mast,A shorter mast located aft of the main mast on a yawl or ketch.
209,en-US,modified-V hull,A modification of the deep-V hull shape with a deadrise of less than 20 degrees.
210,en-US,mold,"A hollow reinforced cavity that is the mirror-image or reverse-image of the boat and into which fiberglass, gel coat and resin are laid during composite-hull construction."
211,en-US,monohull,A boat with a single hull.
212,en-US,mooring,Permanent ground tackle fixed to a buoy that boats can tie to.
213,en-US,motorsailer,A hybrid boat that has sails and powerful engines.
214,en-US,motoryacht,A large powerboat greater than 40 feet with luxurious interior accommodations for long-range cruising.
215,en-US,multihull,"A boat with more than one hull, such as a catamaran or trimaran."
216,en-US,nautical mile,"A distance of 6,076.12 feet or 1,852 meters, which is about 15 percent longer than a statute mile. Equivalent to one minute of latitude on a navigation chart."
217,en-US,nun buoy,Conical navigation buoy that is usually red.
218,en-US,outboard bracket,Support device for mounting outboard engines that extends aft of the transom.
219,en-US,outboard motor,"Internal combustion engine mounted at the transom that incorporates motor, driveshaft and propeller."
220,en-US,outdrive,The lower unit of a stern-drive motor that houses the drive gears and to which the propeller fastens.
221,en-US,outrigger,Poles designed to spread out fishing lines and keep them from tangling while trolling.
222,en-US,overboard,Over the side of a boat and into the water.
223,en-US,personal watercraft (PWC),"A small, lightweight craft designed to be either sat-on or stood-on with motorcycle-like handlebars and squeeze throttle, usually jet-propelled."
224,en-US,personal flotation device (PFD),A safety vest or jacket capable of keeping an individual afloat.
225,en-US,piling,"A post driven into the ground below the waterline to support a pier, dock, etc."
226,en-US,pilot house,A fully enclosed helm compartment.
227,en-US,pitch,"Theoretical distance a propeller would travel in one revolution. Also, the rise and fall of a boat's bow and stern."
228,en-US,planing hull,A boat hull designed to ride on top of the water rather than plowing through it.
229,en-US,pleasure boating,"Recreational day boating in runabouts, deck boats, pontoon boats, bowriders and sportboats."
230,en-US,plot,To plan a navigation course using a chart.
231,en-US,poling platform,Small elevated stand on a flats boat used by a fisherman to silently pole through shallow water and scout for fish.
232,en-US,pontoon boat,A type of boat with a flat deck attached to airtight flotation tubes or logs.
233,en-US,port,"The left side of a boat when facing the bow. Also, a marina harbor or commercial dock."
234,en-US,power catamaran,A multihulled powerboat with two identical side-by-side hulls.
235,en-US,power cruiser,"A powerboat with overnight accommodations, typically up to 40 feet long."
236,en-US,propeller,A rotating multi-blade device that propels a boat through the water.
237,en-US,pulpit,Forward deck and railing structure at the bow of a boat.
238,en-US,PWC,See personal watercraft.
239,en-US,quarter,The after side of a boat from amidships to stern.
240,en-US,quarters,Living and sleeping areas of a vessel.
241,en-US,quartering,The practice of aiming the boat's bow at a 45-degree angle to oncoming waves.
242,en-US,racer,A sailboat designed primarily for speed and competition with a minimum of built-in creature comforts.
243,en-US,racer/cruiser,A fast sailboat designed with comfortable accommodations.
244,en-US,radar,Electronic device using high frequency radio waves to detect objects and display their positions on a monitor.
245,en-US,range,"Distance a boat can travel at cruising speed on a tank of fuel. Also, the distance to an object. Lastly, in intracoastal navigation, a set of two markers that, when lined up one behind the other, indicate the deepest part of the channel."
246,en-US,reach,To sail across the wind.
247,en-US,ready about,"Last warning given by a helmsman before tacking and turning the bow into the wind, notifying the crew that the boom and sail will cross the boat."
248,en-US,receiver box,Part of a hitch that receives and holds the hitch bar or shank.
249,en-US,receiver hitch,A hitch with a receiver from which a hitch bar or shank can be removed.
250,en-US,resin,"Liquid substance used in fiberglass composite construction that, when combined with a catalyst, bonds laminate materials together."
251,en-US,reverse chine,A chine that angles downward from the hull designed to direct spray out and awayfrom the boat.
252,en-US,RIB (rigid inflatable boat),An inflatable boat fitted with a rigid bottom.
253,en-US,rigging,"Wire cables, rods, lines, hardware and other equipment that support and control the mast and spars."
254,en-US,rocket launcher,"A device designed for a fishing boat that bolts to the cockpit floor or is incorporated into a bench seat, to hold multiple fishing rods."
255,en-US,rode,"Line, chain, cable or any combination of these used to connect the anchor to the boat."
256,en-US,rod holder,Device designed to safely and securely hold fishing rods either vertically or horizontally.
257,en-US,rolled-edge skiff,"A fishing boat designed to run in coastal waters constructed of a simple, one-piece fiberglass hull without a top deck and characterized by rounded top edges without true gunwales."
258,en-US,roller trailer,A trailer outfitted with rollers instead of bunks.
259,en-US,rubrail,Protective outer bumper that runs around the boat at the point where the top deck meets the hull.
260,en-US,rudder,Underwater fin mounted below the hull near the stern that controls boat steering.
261,en-US,runabout,"A kind of small, lightweight, freshwater pleasurecraft intended for day use."
262,en-US,running lights,Required navigation lights that a vessel uses at night to indicate position and status.
263,en-US,running rigging,Lines used in the setting and trimming of sails.
264,en-US,safety chains,Legally mandated chains that connect the trailer to the tow vehicle as a safety measure in case the coupler detaches.
265,en-US,safety harness,A harness worn by a boater attached to the boat with a tether to reduce the chances of going overboard.
266,en-US,sag,To slide or drift off course.
267,en-US,sailboat,A boat that is at least partially propelled by capturing the force of wind in sails.
268,en-US,sail plan,Arrangement of sails on a boat.
269,en-US,salon,"Full-sized, well-appointed cabin on the main deck level of a motoryacht, convertible or megayacht used for entertaining."
270,en-US,saltwater fishing boat,Any fishing boat used in the ocean or coastal waters that's specially equipped to handle the harsh saltwater environment.
271,en-US,sedan cruiser,A type of large boat equipped with a salon and a raised helm or bridge.
272,en-US,schooner,A large sailboat with two or more masts where the foremast is shorter than aft mainmast.
273,en-US,scope,The ratio of anchor rode to vertical depth.
274,en-US,scud,To run before the wind in bad weather.
275,en-US,scuppers,Gravity fed drain in a boat to allow water to drain out and overboard.
276,en-US,scuttle,To cut holes or open ports to purposely let water in to make a boat sink.
277,en-US,scuttlebutt,Gossip. So named after a water cask around which sailors used to gather and drink.
278,en-US,sea anchor,"A canvas, cone-shaped device deployed to keep the bow headed into the wind to help safely ride out a storm. Also called a drogue."
279,en-US,sea cock,Through-hull fitting with a valve between the interior and the exterior of the boat.
280,en-US,seaworthy,Ability to handle rough weather. Also called sea-kindly.
281,en-US,selective availability,"Intentional degradation of GPS signal used for position fixing by the U.S. Department of Defense for purposes of national security. With selective availability turned on, positions can be fixed to about 300 meters. With selective availability turned off, positions can be fixed to about 100 meters."
282,en-US,self-bailing,Drains water overboard automatically.
283,en-US,semi-displacement hull,A hull shape with soft chines or a rounded bottom that enables the boat to achieve minimal planing characteristics.
284,en-US,sheer,Line of the deck or gunwale from bow to stern as viewed from outside the boat.
285,en-US,sheet,Line used to trim a sail.
286,en-US,side console,"A dash-panel unit affixed to the side of a boat. If only one, helm controls are affixed to it."
287,en-US,shroud,"Mast support rigging, usually a wire, that runs from the mast to the side of the boat."
288,en-US,skeg,"A fin or vertical projection below the hull that provides directional stability. Also, a fin-like projection at the bottom of an outboard."
289,en-US,skiff,"A small, simple, shallow-draft boat."
290,en-US,skiing/wakeboarding boat,"Low profile, pleasure boats with minimal deadrise specifically designed for waterskiing and/or wakeboarding. These boats are usually characterized by an inboard engine and a towing pylon. Wakeboard boats are often equipped with a tower or extremely tall pylon to fasten the tow line in a manner to aid vertical jumping and water-ballast devices to increase the weight of the boat."
291,en-US,slip,"A boat berth between two piers or floats. Also, the slight loss of efficient power delivery as a propeller spins in the water."
292,en-US,sloop,A single-masted sailboat in which the mast is set forward of midships.
293,en-US,sole,The deck floor.
294,en-US,sonar,A method to locate objects and determine distance by transmitting sound waves through water and measuring the time it takes the echo to bounce back. Used in depth finders and fishfinders.
295,en-US,sounding,Charted water depth.
296,en-US,spar,"Masts, booms, gaffs and poles used in sailboat rigging."
297,en-US,sportfish,A type of bluewater fishing boat with at least two sleeping cabins and many dedicated fish-fighting features.
298,en-US,spring line,A docking line attached amidships to control fore and aft movement.
299,en-US,stand by,"An order to crewmen to be ready, be prepared."
300,en-US,standing rigging,The shrouds and stays that support the mast but are not adjusted while working a boat.
301,en-US,stand on,Maintain course and speed.
302,en-US,starboard,The right side of the boat looking toward the bow.
303,en-US,stateroom,"A room with sleeping quarters, a cabin."
304,en-US,statute mile,"Distance of 5,280 feet, the standard measure of distance on land and most inland waterways."
305,en-US,stay,"Wire, rod or other rigging that runs fore and aft of the mast."
306,en-US,step,Socket that holds the base of the mast.
307,en-US,stepped hull,"A high-performance hull design with lateral notches, or steps, in the keel."
308,en-US,stem,The most forward section of the hull.
309,en-US,stern,Aft portion of a boat.
310,en-US,stern drive,Propulsion system composed of an inboard engine connected to a steerable drive unit extending through a cut-out in the transom.
311,en-US,stow,"To put an object away onboard a boat, to store."
312,en-US,strakes,Small linear protrusions that run longitudinally on both sides of the keel to give a planing hull lift and lateral stability.
313,en-US,stringers,Internal beams and braces that give a fiberglass hull structural support.
314,en-US,surge brakes,Hydraulic trailer brake system activated by the sudden inertia of a trailer pushing against the tow vehicle during a hard stop.
315,en-US,swamp,To fill a boat with water.
316,en-US,sway,Side-to-side wandering of a trailer under tow.
317,en-US,swim platform,A wide platform at the transom equipped with a ladder to help ease the effort of reboarding after going into the water.
318,en-US,tack,"The lower corner of a sail. Also, each leg of a zigzag course."
319,en-US,tender,See dinghy.
320,en-US,through-hull,A fitting or object that goes all the way through a hull.
321,en-US,tiller,A bar connected to the rudder and used to steer the boat.
322,en-US,tiller handle outboard,"A small, outboard motor that uses a handle fitted with engine controls to steer instead of a steering wheel."
323,en-US,tongue jack,Adjustable jack on the trailer tongue that raises and lowers the coupler.
324,en-US,tongue weight,The measurement of trailer weight when loaded with a boat on the hitch ball.
325,en-US,topsides,"The hull above the waterline. Also, everything above deck as opposed to below deck."
326,en-US,tow rating,Maximum weight a vehicle is rated to tow.
327,en-US,trailer tongue,Forward portion of a trailer where the coupler is mounted.
328,en-US,trailer winch,Device that uses a crank and cable to assist in launching and retrieving a boat.
329,en-US,transducer,An electronic sensing device mounted in a boat's bilge or at the bottom of the transom to provide data for a depth sounder.
330,en-US,transom,The rear section of the hull connecting the two sides.
331,en-US,transom shower,A plastic hose and shower head located near the transom that draws from a fresh water supply.
332,en-US,trawler,A pleasure boat more than 25 feet in length with a displacement hull.
333,en-US,trim,"The way a boat floats in relation to the horizon, bow up, bow down or even. Also, to adjust a boat's horizontal running angle by directing the outboard or stern drive's thrust up or down. Also, to set a sail in correct relation to the wind."
334,en-US,trimaran,"A type of boat with three side-by-side hulls, the center of which is usually larger with crew accommodations."
335,en-US,trim tabs,Hydraulically adjusted horizontal plates located on the bottom of the transom that control the trim angle of a boat at speed.
336,en-US,trolling,To fish by towing an array of baited lines or lures behind the boat.
337,en-US,true wind,"Direction and velocity of wind as measured on land, distinct from apparent wind."
338,en-US,T-top,"Short, aluminum tower with overhead canvas to protect the helm."
339,en-US,tuna tower,"Tall aluminum tower used for spotting fish in the distance, often equipped with a second set of helm controls."
340,en-US,two-cycle engine,A gasoline- or diesel-powered internal combustion engine that takes two cycles or strokes of the piston to complete its power phase. Also called two-stroke engine.
341,en-US,underway,A boat in motion.
342,en-US,utility boat,"A type of small, open powerboat, constructed of either fiberglass or aluminum, with minimal features. These include jon boats, skiffs and work boats."
343,en-US,variation,Compass variable that accounts for the difference in degrees between true north and magnetic north.
344,en-US,ventilation,Air introduced into a spinning propeller from the water's surface.
345,en-US,VHF,Very high frequency; a bandwidth designation commonly used by marine radios.
346,en-US,V-berth,A bed or berth located in the bow that has a V-shape.
347,en-US,V-drive,Propulsion system where the drive shaft initially runs forward into a gear box and then runs aft and down through the hull. The driveline forms a V-shape with the gear box at the pivot point.
348,en-US,wake,Waves created by a moving boat.
349,en-US,walkaround,A type of offshore fishing boat with a small to mid-size cabin and a perimeter deck that allows easy passage around the entire boat.
350,en-US,waterline,The intersection of the hull and the surface of the water.
351,en-US,waypoint,The coordinates of a specific location.
352,en-US,weigh,To raise anchor.
353,en-US,windlass,Rotating drum device used for hauling line or chain to raise and lower an anchor.
354,en-US,working sails,Sails used in normal winds.
355,en-US,yachting,To cruise in a motor yacht that typically ranges from 40- to 89- feet long.
356,en-US,yaw,To veer off course.
357,en-US,zinc anodes,"Small pieces of zinc that attach to metal boat and engine components to help protect them from corrosion due to electrolysis, an effect caused when dissimilar metals are placed in a saltwater solution."
