Id,CategoryLevel,SegmentId,Culture,PluralName,SingularName,ImageName,Description,ShortDescription,Title,DisplayOrder,Slug,SlugUrl,Visible,IsAvailableInBoatSelector
572,3,3,en-US,Batteries/Accessories,Battery/Accessory,"","","Select batteries designed for marine applications that match your boat’s requirements.  Starting batteries are similar to automotive batteries, supplying lots of current for a short period of time, then getting recharged almost immediately.  These batteries are appropriate as the single battery for ski boats, runabouts, personal watercraft, and other boats with minimal DC loads where the engine is always running.  Deep-cycle batteries can endure repeated deep discharging and recharging without damage. They are appropriate for sailboats, fishing boats, and all other boats with larger DC power requirements. Any battery used to power onboard DC loads (lighting, trolling motors, inverters, etc.) should be a quality deep-cycle battery,",Batteries/Accessories,1,,,1,0
601,3,3,en-US,Aerials/Accessories,Aerials/Accessories,,,,,1,,,1,0
620,3,3,en-US,Bilge-Oil-Separators,Bilge-Oil-Separator,"","","Oils and petroleum products dropping into your boat’s bilge can make a potentially dangerous mess.  Bilge oil absorbers are rolls of durable absorbant material, netted, with rope handles, ideal for catching and removing petroleum fluids from your boat’s bilge.  The rolls absorb oil but not water.  When saturated with oil, lift the roll out and wring it out or properly dispose of it.. The absorbers can be used many times. 

After removing any accumulations of oil or fuel, a bilge cleaner can also help keep your boat clean and eliminate the source of explosive fumes.  Liquid cleaners dissolve any remaining oil, grease, gasoline, diesel fuel, and sludge and are biodegradable and environmentally friendly.
",Bilge-Oil-Separators,1,,,1,0
586,3,3,en-US,Autopilots/Self-Steering Gear,Autopilots/Self-Steering Gear,"","","An autopilot, also known as self-steering gear, enables a boat to maintain a chosen course without constant human action. Autopilots connect to your steering system and make corrections to your boat’s heading based on either compass, wind, or GPS/Loran information.  Electronic autopilots have three main components: a heading sensor, logic and power circuits, and a drive mechanism. Operation is relatively simple: You put your boat on the desired heading, hold the course for a few seconds, engage the autopilot, and release the helm.  The autopilot locks the course in its memory and keeps your boat on that heading.  Sailboats may use  mechanical autopilots to maintain a reasonably constant compass course, ",Autopilots/Self-Steering Gear,1,,,1,0
649,3,3,en-US,Accessories (Fishing),Accessories (Fishing),"","<div style=""margin: 0in 0in 0pt""><strong>Fishing Rods, the Essential Tool</strong></div><div style=""margin: 0in 0in 0pt"">In its essence, a <span>fishing rod or a fishing pole is a stick used to dangle a string that terminates in a hook used to catch fish.&nbsp;A modern fishing rod is generally a more sophisticated casting tool fitted with line guides and a reel for storing line. Fishing rods vary in thickness, flexibility, and length, and can be 2 to 20 feet long. The longer the rod, the greater the mechanical advantage in casting.</span></div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">A fishing rod also extends the angler's reach and leverage.&nbsp;Essential to casting and presenting the bait or lure to attract fish, the rod absorbs the shock of a fish striking and helps set the hook and play and land the fish. Rods also hold the reel and guide the line on and off the spool.</div><div style=""margin: 0in 0in 0pt"">Rods are generally fitted with guides, wire loops that direct the line to the tip-top, the guide at the top of the rod.&nbsp;Grips are the part of the rod that you hold in your hand, usually made of synthetic EVA foam, or cork on good casting rods.&nbsp;The seat holds the reel, usually using some form of screw ring or lock device.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">Use spin casting rods for active styles of fishing where you frequently cast and retrieve the bait or lure.&nbsp;Fly fishing rods are long, thin, flexible, and lightweight, designed to cast a fly usually made from a few wisps of fur, feathers, and foam tied to a hook.&nbsp;Conventional spinning rods are heavier and suited to fishing for larger fish such as striped bass, steelhead, and salmon.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">Regardless the type of fishing you enjoy, match your rod, reel and tackle to improve your chances of making a catch. For novices and casual anglers, a prepackaged combination of rod, reel, and tackle enables you to spend more time actually fishing.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt""><strong>Fishing Reels Store, Deploy, and Retrieve</strong></div><div style=""margin: 0in 0in 0pt"">Fishing reels store, deploy, and retrieve fishing line.&nbsp;They increase your mechanical advantage to handle strong fish and have a &ldquo;drag&rdquo; system used to pressure a fish during a fight. The first American fishing reel was invented around 1820, a bait caster that quickly became popular.&nbsp;Bait casting reels store line on a revolving spool and are mounted above the rod. Their spools sit perpendicular to the rod and range in size from compact to massive multi-speed offshore saltwater reels.&nbsp;They require a bit more technique when casting to avoid backlash and tangled lines.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">Spinning reels are the easiest for most anglers to use and are suitably robust for most freshwater fishing.&nbsp;They have a fixed spool set below and parallel with the rod and were originally designed to throw artificial flies and lures to trout and salmon.&nbsp;The fixed spool solved the backlash problem and later models proved sturdy enough to handle larger baits and larger catches.&nbsp;Spinning reels are an excellent choice for light tackle and easy to use by casual and beginning anglers.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""background: #f8fcff; margin: 0in 0in 0pt"">The spin cast reel addresses the baitcasting reel&rsquo;s backlash and reduces the line twist and snaring sometimes encountered with spinning reels. Traditionally mounted above the rod, the spin cast reel&mdash;sometimes called a <em>closed face spinner</em>--is fitted with a metal cup and an external nose cone enclosing the fixed, parallel spool.</div><div style=""background: #f8fcff; margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">F<span>ly casting reels are relatively simple and serve more to store the line than to mechanically assist playing the fish.&nbsp;</span></div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""background: #f8fcff; margin: 0in 0in 0pt"">A rod and reel work together to form a system. Choose a reel is to match the rod you&rsquo;ll be using.&nbsp;Buying a rod and reel combination can be a wise shortcut to getting yourself out on the water catching fish</div>","In its essence, a fishing rod or a fishing pole is a stick used to dangle a string that terminates in a hook used to catch fish. A modern fishing rod is generally a more sophisticated casting tool fitted with line guides and a reel for storing line. Fishing rods vary in thickness, flexibility, and length, and can be 2 to 20 feet long. The longer the rod, the greater the mechanical advantage in casting.
 ",Accessories (Fishing),1,,,1,0
660,3,3,en-US,Antennas,Antenna,"","","Antennas are a crucial part of your communications installation; understanding how they work and how to select the correct antenna can improve your ability to communicate with other boaters and shore stations. Modern marine antennas offer a range of features:  Some support multiple receivers; others have a high speed search algorithm that enables fast identification and acquisition of satellites.  Still others offer technology that allows the system to receive signals in the most extreme weather and sea conditions.  A small aerial footprint and lightweight makes underway satellite television reception a reality for vessels of all sizes.

Selecting the right antenna for your boat is important for radio performance.  You must also get an antenna mount that will hold up to the demands of your type of boating,  For instance, a fast powerboat, going offshore in big seas needs durable stainless steel mounts instead of less robust hardware.
",Antennas,1,,,1,0
677,3,3,en-US,Bathrooms/Toilets/Heads,Bathrooms/Toilets/Heads,lighting.jpg,"","There are a variety of ways to deal with waste on board, including reticulating, composting, and incinerating toilets, but by far the most common are toilets plumbed to holding tanks. These range from the simple and inexpensive self-contained heads (portable potties) to fairly complicated systems incorporating multiple valves, pumps and hoses. Any way you look at it, carrying around raw sewage is an unsavory business.",Bathrooms/Toilets/Heads,1,,,1,0
654,3,3,en-US,Cooker/Stoves/Grills,Cooker/Stoves/Grills,"","<div style=""margin: 0in 0in 0pt"">Marine stoves use one of several combustible fuels or electricity to produce heat for cooking onboard.&nbsp;They are generally compact to fit in the confines of boat galleys and have special modifications for use underway, such as operating at 30 degree angles without cookware sliding off.&nbsp;Most stoves rely on combustible fuels: either alcohol, kerosene, LPG (liquefied petroleum gas) or CNG (compressed natural gas). Some powerboats and larger sailboats have electrical appliances in their galleys, running off the engine's alternator, shore power at the dock, or a generator onboard.&nbsp;</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><div style=""margin: 0in 0in 0pt"">Sailboat stoves are usually gimbaled to swing back and forth on two pivot points to help keep pots and pans from sliding around while the boat is heeling or moving.&nbsp;Powerboat stoves are generally not gimbaled.</div><div style=""margin: 0in 0in 0pt"">&nbsp;</div><p><span style=""font-size: 12pt"">Barbecue <strong>grills</strong> are made to be attached to railings, effectively positioning them over the water, rather than over the boat.&nbsp;Many grills feature stainless steel construction, grease catch pans, and attached grill lids for shielding against wind.&nbsp;Mounts almost anywhere and single burner stove in one unit&nbsp;Boaters have their choice of charcoal or various bottled gases. </span></p>","Marine stoves use one of several combustible fuels or electricity to produce heat for cooking onboard. They are generally compact to fit in the confines of boat galleys and have special modifications for use underway, such as operating at 30 degree angles without cookware sliding off. Most stoves rely on combustible fuels: either alcohol, kerosene, LPG (liquefied petroleum gas) or CNG (compressed natural gas). Some powerboats and larger sailboats have electrical appliances in their galleys, running off the engine's alternator, shore power at the dock, or a generator onboard. 
",Cooker/Stoves/Grills,1,,,1,0
686,3,3,en-US,Deck Lighting,Deck Lighting,"","","Deck lighting—lighting for the deck areas—is frequently projected from above.  Rugged floodlights mounted on cabin tops or on masts or spreaders provide even illumination.  Look for lamps that are suitable for high-vibration environments including poweboats, UV and impact-resistant, with a sealed rear cable-gland entry, prewired with at least 12 feet of cable, and with a glass lens bonded to the reflector, sealing out dust and moisture. 

On the deck itself, polycarbonate housed lamps must be sealed watertight and properly installed to avoid leaks.  Look for chrome plated, stainless steel hardware, a cable sealing system to keep water out of the lamp, and UV stabilized, impact resistant plastic housings. 
",Deck Lighting,1,,,1,0
692,3,3,en-US,Boards,Boards,,,,,1,,,1,0
701,3,3,en-US,Desalinators,Desalinators,"","","An on-board reverse osmosis desalinator can help you economically maintain your boat.  You don’t have to buy water or make any trip diversions to find it.  Washing your boat down with de-mineralized water leaves no spots, requiring no laborious drying time.  It also protects the rigging and hull.  Not needing to store water reduces the weight your boat is carrying 

Having a steady supply of fresh water on board enables you to do laundry, dishes, cooking, and showering. You don’t need to worry about conserving or contaminated water.
",Desalinators,1,,,1,0
713,3,3,en-US,Buoyancy Aids/Ring Buoys,Buoyancy Aid/Ring Buoy,,,,,1,,,1,0
709,3,3,en-US,Cordage,Cordage,,,,,1,,,1,0
739,3,3,en-US,Associations,Association,,,,,1,,,1,0
733,3,3,en-US,Benches,Bench,"","","Quality bench seating features a rotationally molded, plastic base with enclosed storage and a solid molded seat back rest. The seat's cushion lifts for access inside the base, and heavy duty stainless steel hinges secure the pontoon seat cushion to the base

Some benches fold out to be sleeper beds for one or two people.  Stowaway lounge seats  have a full storage inside the plastic bases for life vests, tools and other gear.  Select seats with heavy duty marine construction
",Benches,1,,,1,0
753,3,3,en-US,Tools/Workshop Equipment,Tools/Workshop Equipment,"","","Your degree of familiarity with tools, comfort level doing repair and maintenance work, and budget will determine how extensive a set of tools and workshop equipment you want.  You can equip yourself to do the routine repairs and periodic maintenance, or keep only the minimum tools needed for safety and turn over the more specialized work to professional boat mechanics.  

At a minimum, each boat needs to have a set of combination wrenches, Phillips and slotted screwdrivers, circuit tester, crimping tool, pliers, 10&quot; extension bar, prop wrench, mallet, and any specific tools needed for specific pieces of equipment.  Portable power equipment has become popular both onboard and in shore-based workshops.  
",Tools/Workshop Equipment,1,,,1,0
755,3,3,en-US,Air Conditioners,Air Conditioner,"","","A self-contained air conditioner is well within the scope of a do-it-yourself boat owner.  The compressor and the evaporator are inside one fairly compact assembly, requiring some plumbing work, some simple electrical hookups, and locating the supply ducts.  Today’s marketplace offers single purpose marine air conditioners and also “heat pump” type units that heat and cool.",Air Conditioners,1,,,1,0
760,3,3,en-US,Trailers,Trailer,"","","Trailers carry boats on land and can be towed behind SUVs or other personal vehicles.  Trailers are generally a framework of durable metal bars and girders mounted on one or more rubber-tired axles.  Usually a winch is attached to a stanchion on the end closest to the towing vehicle, enabling you to hoist the boat onto the trailer.  Most trailers also hinge, or break, in the middle, enabling you to slide your boat off with greater ease.  Trailers range in size and complexity based on the size of the boat they are meant to carry.",Trailers,1,,,1,0
764,3,3,en-US,Dinghis,Dinghis,"","","Dinghies are one of the most important accessories on a cruising boat.  A dinghy is a small utility boat carried by a larger boat.  Utility dinghies are usually rowboats or have a small outboard motor while others may use a small sailing rig. Use a dinghy for off-ship excursions or to shuttle in from a offshore mooring,  Modern rigid inflatable boats (RIBs) or smaller “compact RIBs”, high pressure floor (HP) inflatables, or a sportboat expands your choice of dinghies beyond the wooden rowboat or jonboat.  Find the perfect dinghy by looking for a combination of portability and performance best suited to your boating environment.  ",Dinghis,1,,,1,0
765,3,3,en-US,Diving Equipment,Diving Equipment,"","","You may choose to keep some diving equipment on board your boat.  The gear can be useful for making some repairs, and diving—be it SCUBA diving with compressed air tanks or snorkling with limited equipment—can be an exciting past time. A quality set of properly fitting masks, snorkels, and fins can be a good addition to any cruise.  Select masks and snorkels made from silicone rubber; fins should not be so large as to tire your legs quickly.  Small inflatable vests provide assistance while on the surface.  

SCUBA, or self contained underwater breathing apparatus, enables you to stay underwater for extended periods of time using a compressed air tank, regulator, mask, and flippers.  Compressed air for SCUBA tanks is frequently available from shore or from other vessels, so you probably do not need an onboard compressor.
",Diving Equipment,2,,,1,0
761,3,3,en-US,Trailer Lights,Trailer Lights,"","","Trailer lights are critical for safety, letting other drivers know where your trailer is and what your intentions are.  Don’t skimp on the quality of trailer lights; consider them essential safety gear that also keeps your trailer legal with your state's motor vehicle department..  LED technology offers a popular new type of trailer lighting that lasts longer and uses less electricity.  If you ramp-launch, look for lights that are either sealed permanently, have gaskets to seal out moisture, or are entirely removable.  Always carry extra bulbs for all fixtures in the boat tool kit and in the tow vehicle spares kit.",Trailer Lights,2,,,1,0
756,3,3,en-US,Boat Heating Systems,Boat Heating System,"","","Boaters who want to cruise cooler latitudes or extend their season may want an onboard heating system.  Diesel-fired units are among the safest systems, ensuring that combustion products are passed overboard and only clean warm air enters the boat.  A fan distributes the warmed air throughout the boat and an automatic controller monitors and regulates heater operation.

Reverse cycle electric air conditioners cool your cabin, but can also act as a &quot;heat pump&quot;, running backwards to warm your boat’s interior.  Though affected by water temperature, heat your boat in waters as low as 40&#186;F. 
",Boat Heating Systems,2,,,1,0
734,3,3,en-US,Chairs,Chair,"","","Depending on your boat and what you use it for, your chairs can be leather sheathed, contour fitting seating systems capable of handling a 4-G impact.  Or, maybe you want a fish fighting chair, outfitted with all the accessories needed to land a billfish or tuna.  If your boat is more modest in size, you may choose to use compact folding chairs.  Whatever the style and function, select chairs with thick foam cushions and back and arm pads backed up by stainless steel tubing and high-density, heavy-duty marine grade vinyl or other water and corrosion-resistant materials. ",Chairs,2,,,1,0
740,3,3,en-US,Certification,Certification,,,,,2,,,1,0
710,3,3,en-US,Line,Line,"","","Dock lines secure your boat to a dock, or to another boat when rafting, either temporarily or semi-permanently.  All boaters need to have some designated nylon lines aboard, preferably with spliced eyes, ready for use when you tie up somewhere.  The eye in the end is easily passed around a cleat or piling by someone on the dock and the bitter end is adjusted on board. There are dozens of combinations of diameters and lengths.  Both three-strand and braided construction are common. Three-strand stretches more, is very abrasion- and snag-resistant and less expensive. Braided nylon is stronger, comes in colors, and has a nice feel or “hand”.",Line,2,,,1,0
714,3,3,en-US,Electronic and Other Signals,Electronic and Other Signals,,,,,2,,,1,0
702,3,3,en-US,Fresh Water Systems,Fresh Water Systems,"","","Modern, portable water purification systems and desalinators can produce enough fresh water to hydrate 25 people almost indefinitely.  An on-board reverse osmosis desalinator can help you economically maintain your boat.  You don’t have to buy water or make any trip diversions to find it.  Washing your boat down with de-mineralized water leaves no spots, requiring no laborious drying time.  It also protects the rigging and hull.  Not needing to store water reduces the weight your boat is carrying 

Having a steady supply of fresh water on board enables you to do laundry, dishes, cooking, and showering. You don’t need to worry about conserving or contaminated water.
",Fresh Water Systems,2,,,1,0
693,3,3,en-US,Diving Gear,Diving Gear,"","","You may choose to keep some diving gear on board your boat.  The gear can be useful for making some repairs, and diving—be it SCUBA diving with compressed air tanks or snorkling with limited equipment—can be an exciting past time.  SCUBA, or self contained underwater breathing apparatus, enables you to stay underwater for extended periods of time using a compressed air tank, regulator, mask, and flippers.  Compressed air for SCUBA tanks is frequently available from shore or from other vessels, so you probably do not need an onboard compressor.",Diving Gear,2,,,1,0
687,3,3,en-US,Interior Lights,Interior Lights,"","","Interior lights rapidly add up to be a large part of your energy budget if you’re not careful.  Halogen lamps and fluorescent fixtures are more efficient.  Cold cathode fluorescent lights (CCFL) are similar in construction to fluorescent lights providing a warm color temperature, but are small in size and highly efficient.  They make great surface-mounted cabin lighting because of their thin profile.  The more traditional ''ship-style'' light s can be used on deck, in your cabin, in bilges, passages, work areas, or even in your shower!  They are made of corrosion-proof plastic with a heavy glass fresnel lens, O-ring seal,  and a high-impact plastic cage.",Interior Lights,2,,,1,0
655,3,3,en-US,Cooking Modules,Cooking Modules,"","","Cooking modules available for pleasure boats include a wide of marine grade appliances.  Boaters can choose from full-sized gas grills, electric gourmet galley ranges, even ceramic glass top stoves.",Cooking Modules,2,,,1,0
678,3,3,en-US,Flooring/Rugs/Carpets,Flooring/Rugs/Carpets,"","","Boaters face many of the same choices as home owners do when it comes to choosing flooring, rugs, or carpets.  Floor treatments may come standard on factory-built boats or you may choose to add them.  Ensure that all floor treatments can withstand the harsh marine environment.  Boat carpet to be used for docks, decks, and patios needs to be the highest quality UV-stabilized polypropylene yarns with durable marine backing.  It must resist mold, mildew, and stains.  Wooden decking should be preservative-treated plywood panels.  Vinyl should be exterior grade, high-tech polymer that repels water and moisture, preventing deck rot, while the embossed surface texture provides slip-resistance.  UV stabilizers enable the deck covering to resist fading and endure long-term use.",Flooring/Rugs/Carpets,2,,,1,0
661,3,3,en-US,Boarding Devices,Boarding Devices,"","","Boarding ladders enable boaters to get in and out of the water from the deck or swim step and from a dinghy.  Boat ladders must extend below the level of the water to be effective.  Many ladders fold in half so they can be left in place without dragging in the water when underway

Modern gangways enable you to step aboard from the dock or deck of another boat with minimal effort.  Anodized aluminum, UV resistant, a non-slip coating to prevent falls, and a fitting kit result in safer boarding.
",Boarding Devices,2,,,1,0
